,embedding_ratio,attribute,k,mean,std
65,0.125,capital-loss,450,0.0189399612310858,
66,0.125,education,300,0.0005752220837058,
67,0.125,education,450,0.0010053487496635,
68,0.125,education-num,300,0.0001606100487114,
69,0.125,education-num,450,0.0005428666882454,
70,0.125,fnlwgt,300,0.0023365688062579,
71,0.125,fnlwgt,450,0.00200799479209,
72,0.125,hours-per-week,300,0.002843220940794,
73,0.125,hours-per-week,450,0.0030282609727,
74,0.125,income,300,0.002053376223597,
75,0.125,income,450,0.0021545920382601,
76,0.125,marital-status,300,0.0097765269144916,
77,0.125,marital-status,450,0.015182984645054,
78,0.125,native-country,300,0.0043474800688753,
79,0.125,native-country,450,0.0042147582588021,
80,0.125,occupation,300,0.0013519014489045,
81,0.125,occupation,450,0.0015864917320732,
82,0.125,race,300,0.0028665420147893,
83,0.125,race,450,0.0028763584395708,
84,0.125,relationship,300,0.0018266700385142,
85,0.125,relationship,450,0.0020822898014325,
86,0.125,sex,300,0.0001153968302077,
87,0.125,sex,450,4.61549389345198e-05,
88,0.125,workclass,300,0.0018060547649917,
89,0.125,workclass,450,0.0017112411464816,
90,0.25,age,300,0.0014585425940493,
91,0.25,age,450,0.001687898789949,
92,0.25,capital-gain,300,0.0877113796538766,
93,0.25,capital-gain,450,0.0856862615802062,
94,0.25,capital-loss,300,0.0377504737085443,
95,0.25,capital-loss,450,0.03901849400222,
96,0.25,education,300,0.000702771195725,
97,0.25,education,450,0.0018448970295031,
98,0.25,education-num,300,0.0002676020009636,
99,0.25,education-num,450,0.0009437579263208,
100,0.25,fnlwgt,300,0.0044882358030241,
101,0.25,fnlwgt,450,0.0044592304404764,
102,0.25,hours-per-week,300,0.0052146963244564,
103,0.25,hours-per-week,450,0.0054859813522905,
104,0.25,income,300,0.0035193158889375,
105,0.25,income,450,0.0036202820050907,
106,0.25,marital-status,300,0.0149938527031377,
107,0.25,marital-status,450,0.0242477117636117,
108,0.25,native-country,300,0.0085097258921646,
109,0.25,native-country,450,0.0083915100425814,
110,0.25,occupation,300,0.0020741034660624,
111,0.25,occupation,450,0.0023437168189204,
112,0.25,race,300,0.0056577531786735,
113,0.25,race,450,0.0057001321491393,
114,0.25,relationship,300,0.0037356977487941,
115,0.25,relationship,450,0.0036742632299825,
116,0.25,sex,300,0.0005771199142716,
117,0.25,sex,450,0.0001846414360889,
118,0.25,workclass,300,0.0029163232448287,
119,0.25,workclass,450,0.0029019121569586,
120,0.5,age,300,0.0019862539794979,
121,0.5,age,450,0.0022167543423637,
122,0.5,capital-gain,300,0.1411590681674056,
123,0.5,capital-gain,450,0.1362710384619692,
124,0.5,capital-loss,300,0.0730709425234972,
125,0.5,capital-loss,450,0.0756788689316278,
126,0.5,education,300,0.0009685538476216,
127,0.5,education,450,0.0030019290046574,
128,0.5,education-num,300,0.0005140455913716,
129,0.5,education-num,450,0.0017011727241879,
130,0.5,fnlwgt,300,0.0055987363834483,
131,0.5,fnlwgt,450,0.0059488882062793,
132,0.5,hours-per-week,300,0.0097759305091457,
133,0.5,hours-per-week,450,0.0100642329510102,
134,0.5,income,300,0.0074444767780253,
135,0.5,income,450,0.0075197119180439,
136,0.5,marital-status,300,0.0243011033143221,
137,0.5,marital-status,450,0.0402247255239123,
138,0.5,native-country,300,0.0169973090847988,
139,0.5,native-country,450,0.0166950393176854,
140,0.5,occupation,300,0.0042467310270844,
141,0.5,occupation,450,0.0045050643761004,
142,0.5,race,300,0.0121930350626395,
143,0.5,race,450,0.0122822525455729,
144,0.5,relationship,300,0.0079142719208193,
145,0.5,relationship,450,0.0082258080980717,
146,0.5,sex,300,0.0012470058987214,
147,0.5,sex,450,0.0006233041957179,
148,0.5,workclass,300,0.0054338742699801,
149,0.5,workclass,450,0.0053292506311719,
