Id,X,Y,Z
294,54,41,28
295,44,38,31
296,58,42,39
297,56,34,65
298,47,42,31
299,62,46,55
300,47,40,55
301,29,19,34
302,72,50,68
303,62,41,60
304,63,39,30
305,56,43,58
306,58,49,59
307,45,21,46
308,34,18,64
309,34,24,45
310,59,46,68
311,48,32,40
312,34,34,66
313,50,28,56
314,33,29,46
315,57,37,69
316,69,44,63
317,68,46,36
318,55,29,66
319,55,35,52
320,47,43,40
321,52,43,38
322,42,31,38
323,38,35,69
324,64,38,30
325,48,37,57
326,56,45,39
327,41,33,63
328,70,45,28
329,58,50,35
330,48,28,44
331,62,41,62
332,34,40,71
333,38,29,56
334,33,23,66
335,61,33,52
336,35,31,77
337,42,35,60
338,52,53,38
339,36,27,39
340,50,37,31
341,44,29,74
342,60,48,62
343,38,34,30
344,40,25,41
345,40,22,46
346,47,38,49
347,80,48,56
348,49,41,41
349,65,32,40
350,45,26,34
351,68,44,69
352,66,43,26
353,39,34,29
354,44,32,47
355,45,27,37
356,28,25,58
357,56,41,71
358,37,22,24
359,53,30,57
360,48,40,63
361,70,51,37
362,41,25,30
363,46,37,49
364,50,50,56
365,59,45,54
366,44,29,33
367,55,49,87
368,59,43,28
369,55,44,23
370,53,54,68
371,37,34,57
372,39,35,26
373,65,49,32
374,66,39,61
375,44,25,31
376,52,37,51
377,43,18,67
378,56,45,54
379,51,31,37
380,64,61,46
381,60,36,44
382,43,30,40
383,37,23,65
384,42,26,35
385,54,30,53
386,42,19,74
387,57,39,33
388,47,24,48
389,54,37,58
390,60,39,32
391,32,30,29
392,41,38,61
393,49,38,61
394,52,31,36
395,50,33,4
396,52,26,59
397,43,32,54
398,33,31,39
399,58,43,48
400,46,35,60
401,52,34,43
402,60,45,39
403,51,21,61
404,55,41,31
405,42,41,89
406,30,20,32
407,53,37,26
408,36,28,39
409,65,44,73
410,37,29,31
411,48,26,57
412,39,24,59
413,52,45,38
414,45,37,55
415,49,36,56
416,54,35,66
417,48,39,50
418,61,42,40
419,33,30,44
420,64,40,61
421,32,29,26
422,44,26,46
423,46,22,72
424,61,44,33
425,63,58,56
426,52,24,69
427,45,29,64
428,44,35,51
429,38,37,69
430,57,43,49
431,37,23,31
432,46,36,58
433,32,24,53
434,22,14,40
435,40,32,63
436,48,29,59
437,58,36,55
438,62,43,37
439,58,46,64
440,43,20,30
441,62,38,26
442,53,36,35
443,63,34,58
444,30,15,40
445,45,22,30
446,51,41,46
447,53,45,57
448,50,37,33
449,51,35,56
450,43,31,72
451,54,33,25
452,37,19,58
453,54,37,55
454,67,37,60
455,40,31,75
456,32,26,67
457,45,23,43
458,39,28,58
459,51,43,40
460,66,48,53
461,40,29,55
462,58,45,78
463,59,36,26
464,28,26,47
465,33,32,37
466,38,31,42
467,65,42,45
468,43,33,55
469,53,35,36
470,56,35,47
471,57,33,48
472,52,29,58
473,46,29,55
474,37,35,58
475,54,31,54
476,43,25,44
477,54,43,61
478,46,34,15
479,51,49,39
480,32,22,82
481,47,29,65
482,54,41,64
483,53,48,25
484,65,39,65
485,38,21,43
486,43,33,47
487,69,47,36
488,65,41,38
489,56,34,42
490,56,43,54
491,55,37,69
492,58,36,55
493,37,18,30
494,24,28,59
495,44,29,27
496,48,35,55
497,35,23,42
498,48,28,70
499,36,18,35
500,53,32,59
501,29,32,37
502,42,24,43
503,42,17,32
504,44,29,54
505,49,40,31
506,63,42,63
507,59,43,68
508,42,15,55
509,44,34,37
510,61,35,53
511,67,43,35
512,61,37,33
513,52,32,35
514,54,47,46
515,54,39,43
516,53,35,43
517,42,28,32
518,52,39,75
519,39,34,70
520,9,8,35
521,61,34,42
522,59,36,37
523,74,46,68
524,45,53,57
525,27,20,62
526,55,43,61
527,30,30,34
528,64,53,65
529,60,47,62
530,33,33,43
531,48,33,60
532,39,38,58
533,51,25,12
534,59,37,32
535,40,34,43
536,35,16,60
537,70,39,45
538,47,29,40
539,49,28,37
540,64,50,59
541,46,27,60
542,49,51,37
543,51,47,41
544,49,27,68
545,50,29,45
546,56,35,62
547,52,32,54
548,41,32,62
549,41,29,57
550,53,46,45
551,65,31,15
552,56,39,22
553,41,28,59
554,73,52,28
555,48,24,55
556,57,42,48
557,45,35,72
558,44,39,60
559,42,15,77
560,61,41,60
561,61,42,39
562,59,46,31
563,48,33,42
564,38,29,62
565,65,43,48
566,65,42,62
567,49,34,34
568,49,32,41
569,51,28,72
570,50,33,37
571,58,44,80
572,68,33,69
573,43,36,45
574,44,28,80
575,28,19,65
576,49,31,39
577,45,35,75
578,50,47,39
579,58,47,64
580,27,13,67
581,57,34,37
582,58,37,27
583,57,33,74
584,57,30,39
585,55,46,36
586,48,41,45
587,34,25,17
588,32,27,34
589,42,29,59
590,50,36,33
591,62,44,46
592,43,26,51
593,36,33,42
594,50,43,61
595,39,27,36
596,46,38,80
597,49,28,46
598,52,27,62
599,41,24,65
600,70,46,44
601,59,32,45
602,51,39,62
603,67,36,56
604,71,42,77
605,63,47,41
606,38,33,45
607,43,38,65
608,38,35,58
609,42,28,66
610,44,29,63
611,64,49,51
612,41,35,40
613,54,43,25
614,72,57,42
615,41,33,62
616,45,27,31
617,55,46,20
618,56,41,45
619,43,33,61
620,39,20,69
621,41,31,38
622,63,30,43
623,52,39,54
624,46,28,64
625,51,39,70
626,73,50,75
627,61,41,40
628,54,35,59
629,32,33,28
630,53,33,37
631,54,33,81
632,45,40,51
633,44,22,45
634,48,31,57
635,59,30,10
636,58,53,51
637,53,38,37
638,49,39,42
639,49,35,63
640,55,34,64
641,39,24,40
642,39,15,69
643,49,42,56
644,40,32,48
645,46,24,39
646,55,28,60
647,51,37,65
648,70,45,31
649,58,38,44
650,45,28,39
651,39,31,43
652,42,33,43
653,39,22,38
654,41,24,56
655,58,40,37
656,52,40,53
657,42,24,70
658,63,50,23
659,51,45,72
660,56,45,72
661,45,41,65
662,54,32,31
663,55,35,50
664,64,44,48
665,59,35,41
666,75,55,49
667,71,43,65
668,65,47,36
669,46,29,35
670,44,24,31
671,44,24,51
672,47,36,51
673,38,22,33
674,42,36,65
675,33,16,32
676,46,34,40
677,48,32,56
678,55,44,67
679,30,27,63
680,38,32,60
681,34,22,55
682,53,32,48
683,55,44,32
684,55,42,70
685,62,40,18
686,48,41,41
687,54,49,37
688,62,54,54
689,43,32,34
690,46,34,19
691,46,32,40
692,35,36,63
693,62,35,60
694,43,32,72
695,57,38,62
696,55,46,40
697,57,33,42
698,64,45,79
699,34,25,57
700,61,46,58
701,43,37,35
702,50,26,58
703,47,39,41
704,68,52,62
705,59,50,44
706,52,39,48
707,23,27,55
708,47,33,26
709,56,35,33
710,33,23,41
711,30,17,47
712,48,31,63
713,44,26,32
714,33,36,57
715,51,38,83
716,59,42,63
717,43,35,10
718,74,50,43
719,62,46,62
720,53,42,52
721,52,31,55
722,38,19,63
723,64,38,42
724,47,29,49
725,65,47,16
726,45,36,68
727,47,34,57
728,67,53,73
729,54,34,37
730,47,32,73
731,43,45,46
732,58,43,52
733,62,47,65
734,54,33,38
735,61,36,59
736,61,33,67
737,55,33,57
738,53,34,63
739,46,22,24
740,49,40,45
741,47,35,61
742,54,43,39
743,50,34,35
744,49,40,64
745,25,19,59
746,60,35,54
747,48,37,85
748,48,36,62
749,50,26,45
750,56,53,34
751,90,55,68
752,55,37,69
753,27,18,45
754,34,25,31
755,47,38,65
756,68,45,75
757,65,42,51
758,66,40,49
759,53,32,53
760,44,22,66
761,52,43,63
762,42,27,41
763,42,26,16
764,38,34,74
765,35,30,40
766,36,26,65
767,35,30,57
768,49,34,57
769,41,35,37
770,73,42,33
771,38,31,32
772,30,37,58
773,64,38,36
774,63,37,75
775,42,31,72
776,55,30,45
777,57,37,41
778,28,23,59
779,49,37,66
780,37,28,57
781,49,28,91
782,47,32,55
783,53,32,52
784,50,41,52
785,42,21,62
786,43,34,61
787,43,30,64
788,66,46,32
789,70,52,35
790,64,42,37
791,61,51,45
792,60,44,34
793,48,36,47
794,65,43,59
795,60,37,69
796,53,31,38
797,51,41,61
798,61,27,41
799,48,25,47
800,52,40,55
801,54,34,64
802,53,37,66
803,46,34,49
804,53,24,57
805,61,46,44
806,51,41,42
807,57,32,53
808,65,41,69
809,64,33,53
810,61,28,22
811,37,19,66
812,44,34,34
813,48,35,70
814,59,49,0
815,28,19,63
816,49,26,53
817,60,42,41
818,51,44,65
819,43,22,49
820,37,28,45
821,59,37,58
822,87,34,40
823,65,42,56
824,55,43,52
825,46,38,44
826,53,39,65
827,53,39,64
828,48,40,37
829,38,31,53
830,45,26,51
831,62,46,30
832,41,29,65
833,48,38,20
834,45,29,57
835,48,38,33
836,48,39,17
837,42,21,45
838,66,39,49
839,49,47,31
840,55,40,62
841,51,38,10
842,66,39,66
843,57,35,68
844,35,18,38
845,48,39,36
846,63,40,48
847,53,35,41
848,45,28,41
849,46,23,63
850,56,41,38
851,55,31,33
852,54,37,38
853,47,30,45
854,55,28,62
855,55,36,61
856,60,31,54
857,45,38,62
858,35,32,44
859,47,30,78
860,53,41,63
861,31,21,34
862,58,43,68
863,43,23,32
864,54,35,58
865,37,30,42
866,52,38,88
867,35,28,54
868,38,19,40
869,64,35,61
870,49,30,37
871,61,31,30
872,60,44,36
873,51,33,71
874,53,38,75
875,45,36,42
876,51,41,57
877,40,23,51
878,45,36,47
879,33,23,78
880,43,30,66
881,56,28,47
882,50,34,27
883,41,30,32
884,43,34,38
885,52,31,61
886,42,31,25
887,56,45,56
888,46,36,40
889,72,49,69
890,55,46,45
891,43,44,49
892,52,35,48
893,49,30,45
894,46,31,39
895,51,35,22
896,53,35,50
897,37,24,59
898,58,32,31
899,44,31,54
900,53,39,34
901,55,32,60
902,56,35,37
903,56,40,42
904,51,30,20
905,56,44,68
906,44,27,39
907,33,36,37
908,76,53,18
909,51,32,57
910,38,21,59
911,61,41,61
912,28,31,40
913,46,37,63
914,32,25,49
915,48,33,56
916,47,39,81
917,30,19,68
918,44,38,13
919,53,39,66
920,48,32,34
921,40,32,32
922,48,30,40
923,42,25,59
924,35,35,54
925,39,36,53
926,42,36,52
927,44,29,48
928,61,47,41
929,62,50,34
930,34,26,37
931,52,23,58
932,51,25,67
933,59,35,34
934,47,33,44
935,50,47,43
936,52,44,57
937,48,33,54
938,57,41,49
939,55,45,48
940,60,31,32
941,50,30,51
942,38,25,37
943,57,46,59
944,67,46,52
945,52,32,47
946,28,28,56
947,57,36,28
948,45,34,65
949,62,49,41
950,59,36,67
951,64,40,31
952,35,28,51
953,48,36,58
954,41,25,44
955,38,25,61
956,72,42,63
957,62,38,65
958,60,42,61
959,39,24,27
960,55,31,45
961,43,21,59
962,41,24,59
963,41,28,54
964,66,44,44
965,46,47,65
966,51,40,33
967,59,32,56
968,56,20,46
969,59,34,60
970,55,26,47
971,37,28,80
972,60,35,43
973,51,38,67
974,46,34,47
975,45,32,23
976,43,36,44
977,45,24,46
978,59,36,54
979,61,41,41
980,52,32,32
981,56,28,34
982,47,24,62
983,59,44,39
984,63,42,37
985,46,30,75
986,52,31,47
987,34,24,42
988,27,13,77
989,61,48,48
990,51,33,82
991,58,37,45
992,52,41,52
993,45,37,35
994,56,38,47
995,54,49,16
996,44,25,31
997,59,38,61
998,64,47,88
999,54,34,40
